geoid,b19013001,b19013001_moe
14000US01055011100,44383,5591
14000US01055010800,55273,5995
14000US01057020200,47566,7733
14000US01055011200,23479,2817
14000US01057020300,31887,5111
14000US01057020400,37708,6978
14000US01061050200,62813,8801
14000US01059973400,35784,7900
14000US01059973500,41518,5848
14000US01059973600,39583,4564
14000US01059973700,37463,8562
14000US01059972900,42865,8937
14000US01059973000,42756,8151
14000US01059973100,42478,5552
14000US01059973200,42628,12480
14000US01059973300,40462,7200
14000US01061050300,27397,14775
14000US01061050100,27418,4859
14000US01061050400,43104,5364
14000US01061050500,42180,7484
14000US01061050600,38750,7293
14000US01067030200,43710,3971
14000US01065040200,47431,14971
14000US01065040300,31316,10769
14000US01065040400,23750,3148
14000US01065040500,28015,4897
14000US01067030100,39479,6181
14000US01063060000,25135,9983
14000US01063060100,19743,7882
14000US01063060200,21827,9362
14000US01065040000,49832,5966
14000US01065040100,37992,7219
14000US01067030300,39345,7015
14000US01067030400,44375,6584
14000US01067030500,59232,5356
14000US01067030600,42070,7661
14000US01069040100,59254,11401
14000US01069040800,50943,4345
14000US01069040201,68460,1950
14000US01069040202,77500,4541
14000US01069040301,40641,1898
14000US01073001100,37432,11313
14000US01069040302,38565,2843
14000US01069040400,60313,6756
14000US01069040500,48218,2295
14000US01069040600,14623,1618
14000US01069040700,40031,4538
14000US01069040900,54184,3258
14000US01069041000,28532,2753
14000US01069041100,36053,3249
14000US01069041400,24627,1972
14000US01069041200,15651,1702
14000US01069041500,30483,3009
14000US01069041900,41932,2159
14000US01069041600,41827,3647
14000US01071950300,34372,4444
14000US01069041700,36295,5701
14000US01069041800,43295,4995
14000US01069042000,42131,2891
14000US01069042100,49736,4134
14000US01071950100,39051,4834
14000US01071950200,30071,3252
14000US01071950400,39583,5584
14000US01071950800,36552,10583
14000US01071950500,38669,5725
14000US01071950900,50063,10419
14000US01071951000,31657,6212
14000US01073000300,20061,4156
14000US01071950600,40381,4053
14000US01073000400,29329,8177
14000US01071951100,43125,6221
14000US01071950700,40846,3963
14000US01073000100,31084,1845
14000US01073000500,22476,6270
14000US01073002000,32153,11705
14000US01073000700,16515,2992
14000US01073000800,24511,5199
14000US01073001200,25810,5770
14000US01073001400,34044,4195
14000US01073001500,21147,4650
14000US01073001600,31568,9335
14000US01073001902,22697,5556
14000US01073002100,27259,6453
14000US01073002200,34193,7660
14000US01073002306,78676,6850
14000US01073002303,17685,5019
14000US01073002400,31265,6663
14000US01073002305,66825,7390
14000US01073002700,20862,10467
14000US01073003002,19808,6520
14000US01073003500,34224,9905
14000US01073003100,25952,3841
14000US01073003200,22132,11525
14000US01073003300,25682,21363
14000US01073003400,23661,5111
14000US01073002900,14396,3473
14000US01073003001,24203,8413
14000US01073003600,43083,3554
14000US01073003900,26802,4298
14000US01073003700,27264,3111
14000US01073004000,17431,1762
14000US01073003802,31854,10812
14000US01073004200,22337,4895
14000US01073004702,77625,22770
14000US01073003803,35667,6457
14000US01073004800,58088,6240
14000US01073004500,15109,9037
14000US01073004901,34055,4558
14000US01073005101,16371,3875
14000US01073004902,39926,13615
14000US01073005000,34657,6286
14000US01073004701,50289,7827
14000US01073005103,34550,12894
14000US01073005500,22424,5141
14000US01073005104,33825,2379
14000US01073005600,53479,4718
14000US01073005903,49870,9986
14000US01073005200,29509,2412
14000US01073005905,40396,6043
14000US01073005701,34709,22209
14000US01073005302,61148,9787
14000US01073005702,25780,3220
14000US01073005907,62094,8000
14000US01073005800,36119,7102
14000US01073010301,26023,4468
14000US01073005910,55777,5408
14000US01073005908,32676,5012
14000US01073005909,52143,6930
14000US01073010001,37830,5075
14000US01073010302,19891,3633
14000US01073010401,30797,10852
14000US01073010002,47439,8712
14000US01073010100,17857,5569
14000US01073010602,30246,6613
14000US01073010603,49806,5874
14000US01073010402,51250,13126
14000US01073010701,53056,20795
14000US01073010200,36491,6897
14000US01073010500,20750,4697
14000US01073010702,94053,21416
14000US01073010803,79233,6168
14000US01073010703,136607,21475
14000US01073010704,74776,15804
14000US01073010705,109891,11722
14000US01073010706,54626,6369
14000US01073011002,34494,4326
14000US01073010804,139063,22286
14000US01073011104,54633,5251
14000US01073010801,125881,22804
14000US01073010805,126090,13133
14000US01073010802,142500,15252
14000US01073011107,85081,3465
14000US01073010900,27488,9663
14000US01073011108,77839,5411
14000US01073011001,68864,15269
14000US01073011109,83333,16493
14000US01073011400,46296,8142
14000US01073011208,68438,14441
14000US01073011110,71778,16015
14000US01073011111,79380,12252
14000US01073011205,69208,9432
14000US01073011206,66516,9231
14000US01073011500,51210,10103
14000US01073011207,52766,6725
14000US01073011209,30851,6347
14000US01073011210,27182,15808
14000US01073011600,57847,10599
14000US01073011301,43583,13356
14000US01073011703,66076,7614
14000US01073011302,71429,3953
14000US01073011704,71750,10429
14000US01073012104,43900,6444
14000US01073011901,27355,6879
14000US01073011904,42583,8424
14000US01073011705,66094,7749
14000US01073011706,48125,5843
14000US01073011802,39850,5176
